Song Name,Artist,Album,Release Date,Popularity
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Chorus. Join with thee calm peace, and quiet",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,12
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Air and Chorus. These delights if thou canst give (L'Allegro)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,8
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Air. And ever against eating cares (L'Allegro)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,10
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Air. Come, thou Goddess, fair and free (L'Allegro)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,15
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Accompagnato. Come, pensive nun, devout and pure (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,15
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Air and Chorus. Come, and trip it as you go (L'Allegro)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,12
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Air. There let Hymen oft appear (L'Allegro)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,8
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Solo and Chorus. These pleasures, Melancholy, give (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,7
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Air. Mirth, admit me of thy crew (L'Allegro)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,10
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Arioso. Come, but keep thy wonted state (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,12
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Air. But oh, sad virgin (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,9
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part III: Chorus. Thy pleasures, Moderation, give (Il Moderato)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,6
Abdelazer: Rondeau,Henry Purcell,Essential Baroque,01/01/2006,55
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part III: Air. Come, with gentle hand restrain (Il Moderato)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,6
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Accompagnato. Hence loathed Melancoly (L'Allegro)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,15
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part III: Recitative. No more short life (Il Moderato)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,6
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Chorus. Populous cities please me then (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,8
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part III: Duet. As steals the morn upon the night (Il Moderato)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,16
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Air and Chorus. Or let the merry bells ring round (L'Allegro)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,10
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Recitative. Hence, loathed Melancholy (L'Allegro); Recitative. And if I give thee honour due (L'Allegro)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,11
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Chorus. There let the pealing organ blow ; Solo. And let their sweetness, through mine ear (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,7
Green Light,Squid,O Monolith,09/06/2023,48
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part III: Accompagnato and Chorus. Sweet temp'rance (Il Moderato)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,6
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Recitative. But let my due feet never fail (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,7
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Fugue Organo ad libitum",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,7
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part III: Air. Each Action will derive new Grace (Il Moderato)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,6
"Music for the Royal Fireworks, HWV 351: IV. La Réjouissance",George Frideric Handel,"Handel: Music for the Royal Fireworks, HWV 351: La Réjouissance",23/06/2023,5
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part III: Air. Come, with native lustre shine (Il Moderato)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,6
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Air. Hide me from day's garish eye (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,8
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Air. I'll to the well-trod stage anon (L'Allegro)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,8
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Recitative. Thus, night oft see me (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,0
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Accompagnato. Me, when the sun begins to fling (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,8
Do You Wanna Talk,Circa Waves,Do You Wanna Talk,22/09/2022,49
Bones,Palace,Life After,12/07/2019,42
Honey,Swim Deep,Where the Heaven Are We,05/08/2013,51
Sympathetic Vibrations,Bad Sounds,"Escaping from a Violent Time, Vol. 1",17/01/2020,50
There's A Reason Why (I Never Returned Your Calls),Blossoms,Cool Like You (Deluxe),27/04/2018,57
White Noise Boys,Airways,Starting to Spin,19/05/2017,47
Valerie,The Zutons,Tired Of Hanging Around,2006,58
"Dido and Aeneas, Z. 626: When I am Laid in Earth (Dido's Lament, Arr. for Cello & Orchestra by Julian Riem)",Henry Purcell,"Dido and Aeneas, Z. 626: When I am Laid in Earth (Dido's Lament, Arr. for Cello & Orchestra by Julian Riem)",06/01/2023,44
I Can't Stand It,Blossoms,Cool Like You (Deluxe),27/04/2018,56
Your Light,The Big Moon,Walking Like We Do,10/01/2020,52
Easy Strand,Swimming Tapes,Easy Strand,17/09/2018,38
"Trio Sonata for 2 Violins and Continuo in G Minor, HWV 393 ""Dresden"" No. 2: III. Largo (Arr. for Oboe, Violin, Harpsichord and Orchestra by Andreas Tarkmann)",George Frideric Handel,Handel - Atmosphere,19/06/2021,39
That Dress - Demo,The Pale White,That Dress (Demo),29/09/2016,48
Family,Palace,So Long Forever,04/11/2016,42
Houseplants,Squid,Houseplants,27/02/2019,48
Falling Apart,Sea Girls,Falling Apart,06/09/2022,51
Worrying,Clean Cut Kid,Worrying,11/12/2020,42
Man You're Wrong,Demob Happy,Dream Soda,02/10/2015,43
Lemonade,Circa Waves,Lemonade,27/08/2020,52
Sunflower Seeds,The Orielles,Silver Dollar Moment,16/02/2018,44
Love is an Accident,Flyte,This Is Really Going To Hurt,09/04/2021,44
Orlando / Act 3: Sorge infausta una procella,George Frideric Handel,Handel Arias,01/01/2009,41
Woah There Kimmy,Felix Hagan & the Family,Attention Seeker,24/11/2017,40
Eddie Baby,Felix Hagan & the Family,Kiss the Misfits,20/11/2015,40
[Insert Girls Name Here],The Luka State,Room's On Fire,29/05/2020,40
[Insert Girls Name Here],The Luka State,Room's On Fire,29/05/2020,40
The Hunter,SOFT PLAY,Are You Satisfied?,01/06/2015,52
Succubus,Demob Happy,Dream Soda,02/10/2015,42
Shoals,Palace,Shoals,21/01/2022,40
Ocean Deep,Palace,Lost in the Night,20/10/2014,41
Sad Happy,Circa Waves,Sad Happy,13/03/2020,50
Chalet 47,FEET,What's Inside is More Than Just Ham,04/10/2019,42
Undergrowth,Squid,Undergrowth,18/04/2023,45
Oportunista,Calva Louise,Oportunista,21/04/2023,43
Puppets,Corella,Puppets,01/05/2020,51
Be Your Drug,Circa Waves,Happy,10/01/2020,51
"Dido and Aeneas, Z. 626: When I am laid in earth, ""Dido's Lament"" (arr. L. Stokowski)",Henry Purcell,"Bach, J.S. / Purcell / Handel: Stokowski Transcriptions",01/09/2006,46
Valerie,The Zutons,Tired Of Hanging Around,17/04/2006,39
Flesh To The Fallen,Palace,"Someday, Somewhere",23/10/2020,40
LAIDBACK,RAT BOY,SCUM,11/08/2017,48
Do You Really Wanna Know?,Sea Girls,Open Up Your Head,14/08/2020,53
I Like the Way You Die,Black Honey,Written & Directed,19/03/2021,47
5150,Love Fame Tragedy,"Wherever I Go, I Want To Leave",10/07/2020,42
Forget Myself,BlackWaters,Forget Myself,01/11/2019,45
Avalanche,Bad Sounds,Get Better,17/08/2018,40
Stay In,JAWS,Surround You // Stay In,03/12/2012,43
G.S.K.,Squid,Bright Green Field,07/05/2021,45
Killer Whale,Palace,Shoals,21/01/2022,39
Caught Up,Corella,Caught Up,23/02/2018,49
Kiloran,Palace,Kiloran,08/04/2015,39
Daisy Daisy,Sea Girls,Call Me Out EP,08/06/2017,44
Strange Attractor,Animal Kingdom,The Looking Away,08/05/2012,40
CFO,Fizzy Blood,CFO,12/02/2018,41
Mother,The Night Café,151,23/08/2019,41
Believe In Yourself (The Arthur Theme Song),The Magic Gang,Believe In Yourself (The Arthur Theme Song),15/04/2020,41
Mad Mind,Bad Nerves,Bad Nerves,20/11/2020,40
"Water Music, Suite No. 2, HWV 349: No. 12, Alla Hornpipe",George Frideric Handel,Handel: Water Music,05/02/2016,44
Call You Up,Viola Beach,Viola Beach,29/07/2016,50
Cottonmouth,False Heads,Sick Moon,30/09/2022,42
All We've Ever Wanted,Palace,How Far We've Come,25/04/2023,40
Hostages - Wuh Oh Remix,The Howl & The Hum,Hostages (Wuh Oh Remix),11/12/2020,41
Get Away With It,Animal Kingdom,The Looking Away,08/05/2012,46
New Shapes,Bad Nerves,Bad Nerves,20/11/2020,40
Cathy Come Home,Flyte,The Loved Ones,25/08/2017,42
Endless Lovers,The Night Café,151,23/08/2019,46
Settle Down,Palace,Chase The Light,08/06/2015,39
Fool Moon,Anteros,When We Land,22/03/2019,41
In My Mind,The Amazons,The Amazons (Deluxe),26/05/2017,50
"Lady Rich, Her Galliard",John Dowland,Musical Banquet,20/05/2008,43
Carry You Home,Circa Waves,Never Going Under,13/01/2023,49
"Handel: Water Music, Suite No. 3 in G Major, HWV 350: III. Minuets I & II",George Frideric Handel,John Eliot Gardiner Conducts Handel,03/02/2023,35
Rinaldo / Act 2: Lascia ch'io pianga,George Frideric Handel,Handel: Rinaldo (Original 1711 Version),16/10/2000,49
The Mad Lover Suite: Ground. Aire V,John Eccles,The Mad Lover,13/11/2020,42
Younger,Palace,Life After,12/07/2019,40
My Cheating Heart,Love Fame Tragedy,"Wherever I Go, I Want To Leave",10/07/2020,43
Summer Again,The Wytches,Annabel Dream Reader,25/08/2014,35
Movies,Circa Waves,What's It Like Over There?,05/04/2019,54
Barcelona Girl,Corella,Barcelona Girl,07/07/2017,54
"Handel: Water Music, Suite No. 1 in F Major, HWV 348: III. (b) Andante",George Frideric Handel,John Eliot Gardiner Conducts Handel,03/02/2023,35
Can't Get In,FEET,Can't Get In,30/09/2022,44
Past Tense,On Video,Past Tense,30/04/2019,42
The Frog Galliard,John Dowland,Mister Dowland's Midnight,02/06/2014,41
Gene Kelly,Felix Hagan & the Family,Attention Seeker,24/11/2017,38
I WANNA SKATE,RAT BOY,INTERNATIONALLY UNKNOWN,25/01/2019,35
Bitter,Palace,Bitter,11/08/2014,41
"Dido and Aeneas, Z. 626: When I Am Laid in Earth (Arr. Trovesi for Chamber Ensemble)",Henry Purcell,"Purcell: Dido and Aeneas, Z. 626: When I Am Laid in Earth (Arr. Trovesi for Chamber Ensemble)",03/02/2023,41
I've Got A Girl,Flyte,I've Got A Girl,22/10/2020,37
"Suite No. 2 in F Major, HWV 427: I. Adagio",George Frideric Handel,"Handel: Suite No. 2 in F Major, HWV 427: I. Adagio",20/01/2023,41
Your Girlfriend,Blossoms,FEELGOOD INDIE 2023 by the Circle Sessions,14/06/2023,0
Charlemagne,Blossoms,FEELGOOD INDIE 2023 by the Circle Sessions,14/06/2023,2
"Handel: Rinaldo, HWV 7, Act 2: ""Lascia ch'io pianga"" (Almirena)",George Frideric Handel,In War & Peace - Harmony through Music,04/11/2016,48
Exoskeleton,VANT,Conceived in the Sky,10/01/2020,44
Turn,The Night Café,151,23/08/2019,44
Slow,Airways,Slow,04/06/2021,42
Crying Clown,The Wytches,Annabel Dream Reader,25/08/2014,34
Sex Hair,Bedroom / Boredom,I Wouldn't Worry,16/06/2016,38
Alien,Airways,Alien,14/09/2018,43
Everybody Loves You,APRE,Drum Machines Killed Music,14/09/2018,40
"Handel: Water Music, Suite No. 1 in F Major, HWV 348: VI. Air",George Frideric Handel,John Eliot Gardiner Conducts Handel,03/02/2023,34
Garden Song,Wild Front,The Perfect Cover Story,28/08/2020,36
Friends Forever,Palace,Shoals,21/01/2022,38
Belicoso,Calva Louise,Belicoso,16/08/2019,40
"The Arrival Of The Queen Of Sheba, From Solomon",George Frideric Handel,A Baroque Feast,09/04/2002,44
No Other,Palace,Life After,12/07/2019,38
"Almira, HWV 1 (Excerpts): Sarabande",George Frideric Handel,"Handel: Apollo e Dafne, HWV 122 & Armida abbandonata, HWV 105",04/02/2022,40
Concerto-Pasticcio in C Major: I. Largo,George Frideric Handel,Handel: Oboe Concertos,24/06/2022,42
Narrator,Squid,Bright Green Field,07/05/2021,43
Terminal Boy,Bad Nerves,Bad Nerves,20/11/2020,39
Let The Lights On,Sorry,Anywhere But Here,07/10/2022,42
Your Girlfriend,Blossoms,Your Girlfriend,20/06/2019,49
In The Moment,Gengahr,In The Moment,13/04/2023,42
The Cleaner,Squid,The Cleaner,15/07/2019,42
Sleeper,Palace,Shoals,21/01/2022,38
The Way We Say Goodbye,Circa Waves,What's It Like Over There?,05/04/2019,44
We Should Hang,Willie J Healey,People and Their Dogs,18/08/2017,42
"Sarabande Variations (from Suite in D Minor, HWV 437): Variation VIII",George Frideric Handel,Handel Variations,08/11/2019,44
Do You Want It?,Corella,Do You Want It?,16/06/2022,48
Life's a Bitch (But I Like it So Much),The Mysterines,Reeling,11/03/2022,49
